X--Trace 1::[Channel A],Y--Trace 1::[Channel A],Y--Trace 2::[Channel B]
0.00778901,3.45803,3.36885
0.00779901,3.39537,3.36793
0.00780901,3.33266,3.36702
0.00781901,3.2699,3.36613
0.00782901,3.2071,3.36526
0.00783901,3.14425,3.36439
0.00784901,3.08136,3.36355
0.00785901,3.01843,3.36271
0.00786901,2.95545,3.36189
0.00787901,2.89243,3.36108
0.00788901,2.82936,3.36029
0.00789901,2.76626,3.35951
0.00790901,2.70312,3.35873
0.00791901,2.63994,3.35798
0.00792901,2.57672,3.35723
0.00793901,2.51347,3.35649
0.00794901,2.45018,3.35577
0.00795901,2.38686,3.35505
0.00796901,2.3235,3.35435
0.00797901,2.26011,3.35365
0.00798901,2.19668,3.35297
0.00799901,2.13323,3.35229
0.00800901,2.06974,3.35163
0.00801901,2.00623,3.35097
0.00802901,1.94269,3.35032
0.00803901,1.87912,3.34968
0.00804901,1.81552,3.34905
0.00805901,1.75189,3.34843
0.00806901,1.68825,3.34782
0.00807901,1.62457,3.34721
0.00808901,1.56088,3.34661
0.00809901,1.49716,3.34602
0.00810901,1.43342,3.34543
0.00811901,1.36967,3.34486
0.00812901,1.30589,3.34429
0.00813901,1.24209,3.34372
0.00814901,1.17828,3.34317
0.00815901,1.11444,3.34262
0.00816901,1.0506,3.34207
0.00817901,0.986734,3.34154
0.00818901,0.922858,3.341
0.00819901,0.858969,3.34048
0.00820901,0.795068,3.33996
0.00821901,0.731155,3.33944
0.00822901,0.667232,3.33894
0.00823901,0.603299,3.33843
0.00824901,0.539358,3.33793
0.00825901,0.475409,3.33744
0.00826901,0.411453,3.33695
0.00827901,0.347492,3.33647
0.00828901,0.283525,3.33599
0.00829901,0.219555,3.33552
0.00830901,0.155581,3.33505
0.00831901,0.0916056,3.33459
0.00832901,0.0276285,3.33413
0.00833901,-0.0363489,3.33368
0.00834901,-0.100326,3.33323
0.00835901,-0.164301,3.33278
0.00836901,-0.228275,3.33234
0.00837901,-0.292245,3.3319
